Слово,Частота встреч в раз,Частота встреч в %
novosilzoff,1,0.0
savez,23,0.0
граф,491,0.09
виду,34,0.01
ничего,629,0.11
лучшего,6,0.0
перспектива,2,0.0
вечера,71,0.01
бедной,6,0.0
больной,16,0.0
слишком,130,0.02
пугает,1,0.0
то,3898,0.69
буду,97,0.02
очень,618,0.11
рада,45,0.01
видеть,186,0.03
себя,888,0.16
между,410,0.07
семью,12,0.0
десятью,6,0.0
часами,6,0.0
господи,42,0.01
какое,137,0.02
горячее,4,0.0
нападение,7,0.0
прежде,329,0.06
всего,277,0.05
скажите,51,0.01
ваше,247,0.04
здоровье,56,0.01
милый,112,0.02
признаюсь,8,0.0
эти,475,0.08
праздники,2,0.0
фейерверки,1,0.0
становятся,6,0.0
несносны,1,0.0
мучьте,1,0.0
чтò,282,0.05
же,1947,0.35
решили,9,0.0
случаю,28,0.0
депеши,6,0.0
новосильцова,2,0.0
всё,1915,0.34
знаете,134,0.02
сказать,290,0.05
холодным,18,0.0
скучающим,2,0.0
brûlé,1,0.0
ses,19,0.0
vaisseaux,1,0.0
sommes,12,0.0
en,131,0.02
train,2,0.0
brûler,1,0.0
notres,1,0.0
василий,177,0.03
всегда,435,0.08
лениво,14,0.0
актер,4,0.0
говорит,198,0.04
роль,40,0.01
старой,32,0.01
пиесы,4,0.0
напротив,104,0.02
несмотря,287,0.05
свои,325,0.06
сорок,9,0.0
лет,119,0.02
была,985,0.18
преисполнена,2,0.0
оживления,8,0.0
порывов,3,0.0
энтузиасткой,2,0.0
сделалось,35,0.01
общественным,1,0.0
положением,19,0.0
иногда,138,0.02
хотелось,94,0.02
обмануть,16,0.0
ожиданий,1,0.0
людей,484,0.09
знавших,5,0.0
делалась,1,0.0
сдержанная,2,0.0
улыбка,57,0.01
игравшая,2,0.0
постоянно,59,0.01
лице,189,0.03
анны,65,0.01
павловны,47,0.01
хотя,253,0.04
шла,39,0.01
отжившим,1,0.0
чертам,2,0.0
выражала,7,0.0
избалованных,1,0.0
детей,46,0.01
постоянное,2,0.0
сознание,52,0.01
своего,449,0.08
милого,6,0.0
недостатка,4,0.0
от,1941,0.35
которого,381,0.07
хочет,83,0.01
может,503,0.09
находит,9,0.0
нужным,23,0.0
исправляться,2,0.0
середине,96,0.02
разговора,67,0.01
про,354,0.06
политические,10,0.0
действия,52,0.01
разгорячилась,2,0.0
ах,223,0.04
австрию,5,0.0
понимаю,85,0.02
австрия,5,0.0
никогда,327,0.06
хотела,79,0.01
предает,1,0.0
россия,28,0.0
одна,205,0.04
должна,90,0.02
спасительницей,1,0.0
европы,26,0.0
наш,91,0.02
благодетель,12,0.0
знает,129,0.02
свое,310,0.06
высокое,9,0.0
призвание,7,0.0
будет,532,0.09
верен,4,0.0
ему,1906,0.34
вот,690,0.12
одно,282,0.05
нашему,16,0.0
доброму,4,0.0
чудному,1,0.0
государю,92,0.02
предстоит,5,0.0
величайшая,3,0.0
мире,77,0.01
добродетелен,1,0.0
хорош,35,0.01
бог,133,0.02
оставит,6,0.0
его,4280,0.76
исполнит,4,0.0
задавить,1,0.0
гидру,1,0.0
революции,31,0.01
которая,312,0.06
теперь,980,0.17
ужаснее,2,0.0
убийцы,1,0.0
злодея,6,0.0
мы,660,0.12
одни,74,0.01
должны,113,0.02
искупить,2,0.0
кровь,44,0.01
праведника,1,0.0
кого,164,0.03
надеяться,12,0.0
спрашиваю,15,0.0
англия,1,0.0
своим,312,0.06
коммерческим,1,0.0
духом,13,0.0
поймет,10,0.0
понять,127,0.02
всю,184,0.03
высоту,8,0.0
души,67,0.01
императора,120,0.02
александра,87,0.02
отказалась,5,0.0
очистить,8,0.0
мальту,1,0.0
ищет,7,0.0
заднюю,9,0.0
мысль,116,0.02
наших,65,0.01
действий,22,0.0
они,1026,0.18
сказали,63,0.01
новосильцову,1,0.0
поняли,15,0.0
могут,67,0.01
самоотвержения,5,0.0
нашего,53,0.01
который,705,0.13
блага,18,0.0
обещали,9,0.0
пруссия,4,0.0
уже,809,0.14
объявила,6,0.0
непобедим,1,0.0
вся,152,0.03
европа,8,0.0
против,209,0.04
него,999,0.18
ни,968,0.17
одном,70,0.01
слове,25,0.0
гарденбергу,1,0.0
гаугвицу,1,0.0
cette,46,0.01
сжег,5,0.0
корабли,3,0.0
тоже,246,0.04
кажется,132,0.02
готовы,19,0.0
сжечь,4,0.0
fameuse,2,0.0
neutralité,1,0.0
prussienne,1,0.0
ce,155,0.03
est,322,0.06
un,170,0.03
piège,1,0.0
одного,236,0.04
бога,76,0.01
высокую,3,0.0
судьбу,9,0.0
спасет,4,0.0
европу,9,0.0
вдруг,529,0.09
остановилась,65,0.01
улыбкой,252,0.04
насмешки,16,0.0
над,314,0.06
своею,190,0.03
горячностью,8,0.0
думаю,95,0.02
улыбаясь,216,0.04
послали,9,0.0
вместо,2933,0.52
винценгероде,5,0.0
взяли,33,0.01
приступом,1,0.0
согласие,16,0.0
прусского,7,0.0
короля,25,0.0
красноречивы,1,0.0
дадите,2,0.0
чаю,33,0.01
сейчас,170,0.03
propos,6,0.0
прибавила,38,0.01
опять,660,0.12
успокоиваясь,5,0.0
интересные,2,0.0
человека,402,0.07
vicomte,16,0.0
mortemart,6,0.0
il,225,0.04
allié,2,0.0
aux,20,0.0
montmorency,3,0.0
rohans,3,0.0
лучших,18,0.0
фамилий,2,0.0
франции,45,0.01
хороших,7,0.0
эмигрантов,1,0.0
настоящих,7,0.0
потом,320,0.06
l,321,0.06
abbé,2,0.0
morіo,1,0.0
этот,681,0.12
глубокий,9,0.0
ум,35,0.01
принят,16,0.0
государем,28,0.0
рад,73,0.01
прибавил,123,0.02
будто,548,0.1
вспомнив,10,0.0
особенно,186,0.03
небрежно,16,0.0
о,2077,0.37
чем,700,0.12
спрашивал,76,0.01
главною,4,0.0
целью,49,0.01
посещения,12,0.0
правда,96,0.02
impératrice,4,0.0
mère4,1,0.0
желает,20,0.0
назначения,10,0.0
барона,1,0.0
функе,3,0.0
первым,20,0.0
секретарем,4,0.0
вену,14,0.0
c,143,0.03
sire,30,0.01
baron,2,0.0
paraît,5,0.0
желал,73,0.01
определить,10,0.0
сына,120,0.02
место,143,0.03
которое,398,0.07
через,346,0.06
императрицу,5,0.0
марию,2,0.0
феодоровну,1,0.0
старались,23,0.0
доставить,7,0.0
барону,5,0.0
почти,190,0.03
закрыла,14,0.0
глаза,462,0.08
знак,36,0.01
кто,458,0.08
другой,419,0.07
судить,28,0.0
угодно,32,0.01
нравится,15,0.0
императрице,6,0.0
monsieur,21,0.0
funke,1,0.0
été,40,0.01
recommandé,1,0.0
mère,15,0.0
sa,30,0.01
soeur,5,0.0
6,197,0.04
грустным,15,0.0
сухим,6,0.0
назвала,3,0.0
лицо,555,0.1
представило,3,0.0
глубокое,3,0.0
искреннее,1,0.0
выражение,168,0.03
преданности,10,0.0
уважения,15,0.0
соединенное,1,0.0
грустью,14,0.0
ней,450,0.08
бывало,36,0.01
каждый,136,0.02
раз,488,0.09
разговоре,11,0.0
упоминала,2,0.0
своей,441,0.08
высокой,14,0.0
покровительнице,2,0.0
вели,24,0.0
чество,1,0.0
пресловутый,1,0.0
нейтралитет,2,0.0
пруссии,10,0.0
западня,1,0.0
кстати,10,0.0
виконт,57,0.01
мортемар,6,0.0
родстве,2,0.0
монморанси,3,0.0
чрез,18,0.0
роганов,2,0.0
аббат,12,0.0
морио,4,0.0
вдовствующая,2,0.0
императрица,10,0.0
барон,7,0.0
ничтожное,1,0.0
существо,22,0.0
рекомендован,5,0.0
матери,121,0.02
сестрою,3,0.0
изволила,4,0.0
оказать,4,0.0
beaucoup,14,0.0
estime,5,0.0
взгляд,114,0.02
подернулся,1,0.0
равнодушно,13,0.0
замолк,12,0.0
свойственною,14,0.0
придворною,6,0.0
женскою,5,0.0
ловкостью,5,0.0
быстротою,4,0.0
такта,7,0.0
захотела,1,0.0
щелконуть,1,0.0
дерзнул,1,0.0
отозваться,2,0.0
рекомендованном,1,0.0
утешить,5,0.0
mais,94,0.02
votre,69,0.01
ли,571,0.1
ваша,44,0.01
тех,291,0.05
пор,142,0.03
выезжает,4,0.0
fait,39,0.01
délices,1,0.0
monde,18,0.0
trouve,8,0.0
belle,15,0.0
jour,11,0.0
наклонился,5,0.0
признательности,1,0.0
часто,137,0.02
продолжала,58,0.01
минутного,9,0.0
молчания,25,0.0
придвигаясь,2,0.0
князю,193,0.03
ласково,33,0.01
выказывая,15,0.0
этим,215,0.04
светские,3,0.0
разговоры,32,0.01
кончены,7,0.0
начинается,11,0.0
задушевный,2,0.0
несправедливо,10,0.0
распределяется,1,0.0
счастие,41,0.01
жизни,410,0.07
судьба,30,0.01
дала,16,0.0
таких,67,0.01
двух,149,0.03
славных,1,0.0
исключая,11,0.0
анатоля,66,0.01
вашего,30,0.01
меньшого,4,0.0
люблю,122,0.02
вставила,2,0.0
безапелляционно,1,0.0
приподняв,12,0.0
брови,20,0.0
прелестных,1,0.0
менее,87,0.02
цените,1,0.0
их,866,0.15
потому,600,0.11
сто,50,0.01
ите,1,0.0
улыбнулась,56,0.01
восторженною,6,0.0
voulez,6,0.0
lafater,2,0.0
aurait,13,0.0
dit,34,0.01
ai,74,0.01
bosse,2,0.0
paternité,1,0.0
перестаньте,7,0.0
шутить,17,0.0
серьезно,52,0.01
поговорить,30,0.01
вами,86,0.02
недовольна,4,0.0
вашим,28,0.0
меньшим,2,0.0
сыном,36,0.01
нами,66,0.01
будь,19,0.0
сказано,39,0.01
приняло,22,0.0
грустное,4,0.0
нем,236,0.04
величества,14,0.0
жалеют,4,0.0
молча,128,0.02
значительно,33,0.01
глядя,265,0.05
ждала,21,0.0
ответа,35,0.01
поморщился,20,0.0
ж,225,0.04
делать,183,0.03
наконец,116,0.02
сделал,161,0.03
воспитания,6,0.0
отец,145,0.03
оба,80,0.01
вышли,49,0.01
imbéciles,1,0.0
ипполит,57,0.01
крайней,23,0.0
мере,51,0.01
покойный,2,0.0
дурак,32,0.01
много,218,0.04
вашем,16,0.0
семействе,8,0.0
составляет,18,0.0
наслаждение,18,0.0
общества,57,0.01
находят,2,0.0
прекрасною,4,0.0
день,389,0.07
лафатер,2,0.0
шишки,1,0.0
родительской,1,0.0
любви,138,0.02
дурни,5,0.0
анатоль,164,0.03
беспокойный,4,0.0
различие,9,0.0
неестественно,23,0.0
одушевленно,1,0.0
обыкновенно,48,0.01
этом,384,0.07
резко,10,0.0
сложившихся,1,0.0
около,124,0.02
рта,17,0.0
морщинах,2,0.0
неожиданно,76,0.01
грубое,4,0.0
неприятное,17,0.0
зачем,141,0.03
родятся,2,0.0
дети,43,0.01
были,975,0.17
могла,205,0.04
упрекнуть,6,0.0
задумчиво,18,0.0
поднимая,33,0.01
suie,1,0.0
votre1,1,0.0
seule,4,0.0
puis,16,0.0
avouer,1,0.0
мои,55,0.01
entraves,1,0.0
existence,3,0.0
крест,23,0.0
объясняю,2,0.0
помолчал,33,0.01
выражая,15,0.0
жестом,45,0.01
покорность,5,0.0
жестокой,2,0.0
судьбе,3,0.0
задумалась,8,0.0
женить,8,0.0
блудного,1,0.0
говорят,151,0.03
старые,31,0.01
девицы,10,0.0
ont,24,0.0
manie,1,0.0
mariages,3,0.0
чувствую,20,0.0
собою,124,0.02
этой,312,0.06
слабости,21,0.0
есть,496,0.09
petite,12,0.0
personne,5,0.0
несчастлива,3,0.0
отцом,37,0.01
parente,1,0.0
princesse6,1,0.0
болконская,8,0.0
светским,3,0.0
людям,57,0.01
быстротой,12,0.0
соображения,26,0.0
памяти,18,0.0
показал,39,0.01
движением,57,0.01
головы,53,0.01
принял,53,0.01
соображению,1,0.0
сведения,20,0.0
ит,14,0.0
40,99,0.02
год,55,0.01
видимо,254,0.05
силах,47,0.01
удерживать,15,0.0
печальный,5,0.0
ход,28,0.0
своих,288,0.05
мыслей,50,0.01
пять,54,0.01
пойдет,18,0.0
voilà,41,0.01
avantage,1,0.0
être,54,0.01
père,34,0.01
богата,5,0.0
княжна,583,0.1
богат,9,0.0
скуп,2,0.0
живет,20,0.0
деревне,60,0.01
известный,26,0.0
болконский,96,0.02
отставленный,1,0.0
покойном,5,0.0
императоре,4,0.0
прозванный,1,0.0
прусским,2,0.0
королем,16,0.0
умный,17,0.0
человек,556,0.1
со,463,0.08
странностями,1,0.0
тяжелый,4,0.0
malheureuse,3,0.0
pierres,1,0.0
8,129,0.02
брат,96,0.02
недавно,27,0.0
женился,15,0.0
lise,11,0.0
мейнен,1,0.0
адъютант,153,0.03
кутузова,163,0.03
ваш,59,0.01
одним,72,0.01
могу,189,0.03
признаться,12,0.0
обуза,1,0.0
моего,49,0.01
существования,9,0.0
имеют,25,0.0
манию,1,0.0
девушка,51,0.01
наша,39,0.01
родственница,3,0.0
выгода,1,0.0
бедняжка,4,0.0
камни,2,0.0
ecoutez,2,0.0
взяв,58,0.01
собеседницу,5,0.0
пригибая,3,0.0
почему,118,0.02
книзу,13,0.0
arrangez,1,0.0
affaire,8,0.0
suis,36,0.01
votre2,1,0.0
вернейший,1,0.0
jamais,27,0.0
pan,1,0.0
староста,16,0.0
écrit,6,0.0
des3,1,0.0
донесенья,1,0.0
покой,1,0.0
ер,1,0.0
п,40,0.01
хорошей,4,0.0
нужно,282,0.05
свободными,8,0.0
фамильярными,1,0.0
грациозными,1,0.0
движениями,18,0.0
отличали,1,0.0
взял,144,0.03
фрейлину,2,0.0
поцеловав,11,0.0
помахал,3,0.0
фрейлинскою,1,0.0
рукой,127,0.02
развалившись,4,0.0
креслах,2,0.0
сторону,95,0.02
attendez,7,0.0
соображая,14,0.0
поговорю,3,0.0
femme,20,0.0
du,109,0.02
jeune,22,0.0
уладится,1,0.0
sera,7,0.0
dans,87,0.02
ferai,4,0.0
apprentissage,2,0.0
vieille,2,0.0
fille,8,0.0
гостиная,2,0.0
начала,79,0.01
понемногу,17,0.0
наполняться,1,0.0
приехала,31,0.01
высшая,8,0.0
знать,133,0.02
петербурга,49,0.01
люди,347,0.06
самые,75,0.01
разнородные,2,0.0
возрастам,1,0.0
характерам,1,0.0
одинаковые,2,0.0
обществу,16,0.0
каком,43,0.01
жили,18,0.0
красавица,17,0.0
элен,177,0.03
заехавшая,1,0.0
ним,531,0.09
ехать,158,0.03
шифре,1,0.0
бальном,2,0.0
платье,90,0.02
séduisante,1,0.0
pétersbourg,11,0.0
молодая,14,0.0
маленькая,63,0.01
княгиня,131,0.02
прошлую,4,0.0
зиму,10,0.0
вышедшая,4,0.0
замуж,41,0.01
выезжавшая,1,0.0
большой,83,0.01
причине,10,0.0
беременности,5,0.0
ездившая,2,0.0
небольшие,6,0.0
приехал,153,0.03
сын,115,0.02
мортемаром,1,0.0
представил,11,0.0
многие,37,0.01
другие,182,0.03
видали,17,0.0
знакомы,8,0.0
tante,19,0.0
приезжавшим,1,0.0
гостям,9,0.0
весьма,85,0.02
послушайте,11,0.0
милая,61,0.01
анет,3,0.0
устройте,1,0.0
дело,444,0.08
навсегда,37,0.01
пишет,24,0.0
постойте,10,0.0
лизе,4,0.0
жене,52,0.01
болконского,62,0.01
начну,2,0.0
обучаться,2,0.0
ремеслу,1,0.0
самая,33,0.01
обворожительная,4,0.0
женщина,61,0.01
петербурге,99,0.02
тетушкой,4,0.0
подводила,3,0.0
маленькой,43,0.01
старушке,1,0.0
высоких,4,0.0
бантах,1,0.0
выплывшей,1,0.0
комнаты,163,0.03
скоро,125,0.02
стали,140,0.02
приезжать,4,0.0
гости,47,0.01
называла,20,0.0
имени,34,0.01
медленно,41,0.01
переводя,9,0.0
гостя,13,0.0
отходила,3,0.0
совершали,2,0.0
обряд,3,0.0
приветствования,1,0.0
никому,68,0.01
неизвестной,6,0.0
неинтересной,1,0.0
ненужной,1,0.0
тетушки,7,0.0
торжественным,10,0.0
участием,8,0.0
следила,11,0.0
приветствиями,1,0.0
молчаливо,5,0.0
одобряя,9,0.0
каждому,20,0.0
одних,23,0.0
выражениях,5,0.0
своем,182,0.03
слава,48,0.01
богу,89,0.02
лучше,159,0.03
подходившие,3,0.0
поспешности,7,0.0
чувством,42,0.01
облегчения,3,0.0
исполненной,1,0.0
тяжелой,4,0.0
обязанности,20,0.0
отходили,5,0.0
старушки,3,0.0
чтоб,377,0.07
разу,33,0.01
подойти,9,0.0
работой,12,0.0
золотом,7,0.0
бархатном,3,0.0
мешке,2,0.0
хорошенькая,11,0.0
чуть,86,0.02
черневшимися,1,0.0
усиками,11,0.0
верхняя,8,0.0
губка,8,0.0
коротка,1,0.0
зубам,1,0.0
тем,647,0.12
милее,2,0.0
открывалась,3,0.0
